# This file was created with: dd if=/dev/urandom count=26 | hexdump -C  > TestInjectedCode.dat
# the last bytes of this file must not change as they are important to UnitTests.

00000000  3e b1 e2 a2 2e 4a 54 be  5a d7 f4 17 dd 90 3e 85  |>....JT.Z.....>.|
00000010  b7 9d 4b b8 da 00 31 90  77 ad 64 64 4d bf 98 8b  |..K...1.w.ddM...|
00000020  b7 ea 32 8a d0 a0 70 97  de 21 b1 a7 2d c4 7e 21  |..2...p..!..-.~!|
00000030  53 71 49 19 11 58 96 66  6a 0a a7 be 9f 26 b5 54  |SqI..X.fj....&.T|
00000040  36 d0 bf 00 98 44 39 01  84 4e 6c 8b 12 5e aa 2c  |6....D9..Nl..^.,|
00000050  bc 09 d7 02 4a 03 63 58  af 75 69 da 96 62 10 23  |....J.cX.ui..b.#|
00000060  1c 2b e9 f8 21 7b 90 73  1b f6 c3 51 6b cd bd ad  |.+..!{.s...Qk...|
00000070  c0 c7 30 eb 0a 46 0a 6f  e9 df 73 af a1 99 3f 95  |..0..F.o..s...?.|
00000080  f2 cb 3e 92 0e f6 19 fa  5c 84 d8 1d 5e 54 5c b8  |..>.....\...^T\.|
00000090  61 df ad 26 69 28 b9 3a  33 b8 64 b6 79 44 af ac  |a..&i(.:3.d.yD..|
000000a0  03 09 de a6 20 c0 b3 af  5b 39 d2 0c f1 bd 8b 06  |.... ...[9......|
000000b0  20 04 36 7e 25 5e 97 ae  79 c1 c9 39 de fb a0 ef  | .6~%^..y..9....|
000000c0  16 de a8 f5 8b 97 83 fa  96 28 f4 19 f9 11 e1 1f  |.........(......|
000000d0  a4 57 04 12 d7 ca ae 25  9d a5 96 df 39 af a8 67  |.W.....%....9..g|
000000e0  71 2e e8 30 c7 d0 58 17  f7 fb ea dd 08 7c 2c f6  |q..0..X......|,.|
000000f0  92 22 d6 06 9d 60 ec 14  3b 30 9e a5 12 ea e5 d8  |."...`..;0......|
00000100  f7 97 a7 7d 34 3b 53 ec  be f9 5a f3 8f 8c 8a 21  |...}4;S...Z....!|
00000110  65 80 17 28 9f b9 dd 0f  ca 4c 43 c6 70 99 85 23  |e..(.....LC.p..#|
00000120  b7 00 4d 08 3b 20 37 dd  69 6a 94 a1 ae 8e 3f a9  |..M.; 7.ij....?.|
00000130  05 6b ba ae b1 fd 60 4c  35 67 dd aa fc 88 29 f1  |.k....`L5g....).|
00000140  dc 42 3d f1 7b 55 ff 9b  cd d1 b1 4b 7e 51 b6 29  |.B=.{U.....K~Q.)|
00000150  08 08 3c f1 79 e5 85 0f  3a da f3 eb a0 db 1d a3  |..<.y...:.......|
00000160  c2 40 11 f8 62 3f be 2e  14 8b ea ee 78 fe d9 8a  |.@..b?......x...|
00000170  a8 11 d5 5f f8 bc c2 f5  03 3a 8c 13 0f 1b 50 fe  |..._.....:....P.|
00000180  35 90 6f aa f3 00 4f d2  d7 d1 8e 92 07 3f 93 83  |5.o...O......?..|
00000190  0a d0 cd f7 25 0c de a4  25 f2 ad 33 85 4f b3 c9  |....%...%..3.O..|
000001a0  0e 6a c8 46 be 0b b6 6d  f8 0f 73 4b 22 09 a2 d5  |.j.F...m..sK"...|
000001b0  49 0b 95 2a e7 39 6c 97  d4 5e 54 10 29 05 91 51  |I..*.9l..^T.)..Q|
000001c0  1e 2e 26 07 e4 3f 4a ea  94 e3 6c 9f aa d3 2b 42  |..&..?J...l...+B|
000001d0  2b c4 42 98 58 87 b5 90  6f 5d d3 fe e2 1b 31 8d  |+.B.X...o]....1.|
000001e0  9f cd b4 0a 76 b7 1f f1  53 cb 24 65 37 93 ad bf  |....v...S.$e7...|
000001f0  b1 42 76 e6 05 c0 22 78  39 f4 b3 f5 e4 7e e5 1a  |.Bv..."x9....~..|
00000200  1b e0 6b c2 ae 54 45 38  4a a8 20 6f 77 fc f2 97  |..k..TE8J. ow...|
00000210  9c 7d 85 42 ec 7d 3b 81  d0 7d 56 31 65 29 04 21  |.}.B.};..}V1e).!|
00000220  24 10 bd 65 7b 1c 4f 6a  85 2c 62 e3 4a df 69 65  |$..e{.Oj.,b.J.ie|
00000230  d9 e1 35 73 64 49 ab a1  62 3a 9e 97 de 57 88 a6  |..5sdI..b:...W..|
00000240  e4 7d 4c a0 b0 34 b8 dd  80 98 65 3e 6b e1 1c 6e  |.}L..4....e>k..n|
00000250  0c 2f a1 bf d6 07 24 6a  3f 5e 73 d5 80 21 82 a6  |./....$j?^s..!..|
00000260  18 5f 01 b1 1e 33 34 2d  df c3 3a 31 a3 d7 34 df  |._...34-..:1..4.|
00000270  d7 df 52 88 92 44 df b5  a2 97 ac c9 82 59 95 c8  |..R..D.......Y..|
00000280  45 3b 4a c8 1f 38 8a 2e  15 25 22 f3 ec 1c 92 2f  |E;J..8...%"..../|
00000290  c9 14 90 56 3d 81 40 52  7d b8 d6 99 27 76 b1 3a  |...V=.@R}...'v.:|
000002a0  48 9a 7e 96 c6 05 07 0b  34 2e a5 5e 14 99 6f e7  |H.~.....4..^..o.|
000002b0  8c b4 c5 fe e0 83 06 3c  fa 83 3e e4 cf 36 f2 08  |.......<..>..6..|
000002c0  3c 0e ff b8 50 a2 4f 17  a7 53 b5 93 78 82 eb 29  |<...P.O..S..x..)|
000002d0  ba fd 4a 26 98 bd ab ff  55 4f 91 84 ed bf b7 27  |..J&....UO.....'|
000002e0  62 32 81 78 c1 63 7b c1  e3 bd 8a 8d be 30 fe 85  |b2.x.c{......0..|
000002f0  69 f1 98 cf 58 a5 d8 82  dd c1 3c cd 3c 6a aa a7  |i...X.....<.<j..|
00000300  fb 72 32 d9 6a 3a 8a 9f  ee 7f 90 41 f0 86 1a a3  |.r2.j:.....A....|
00000310  54 af f9 b3 fa bb da 0c  46 b3 d1 0e 2d ff a6 32  |T.......F...-..2|
00000320  f2 62 a1 0a ec fa 17 f1  99 8a e7 0f a3 7d 1b 0b  |.b...........}..|
00000330  73 2c e4 8e 06 c5 96 0f  a8 b7 f4 5a d2 df 90 31  |s,.........Z...1|
00000340  cd 00 9e 76 26 29 dd b1  9c 02 ad 3c d2 be 3c c1  |...v&).....<..<.|
00000350  a1 bd 5c fd 73 6e d4 b8  bc 7a a4 cb 32 ff de fc  |..\.sn...z..2...|
00000360  ec 78 f5 9c 62 06 d7 95  b5 8f 16 00 61 b0 19 16  |.x..b.......a...|
00000370  ac 49 88 c4 be a5 7b b6  55 9a 57 93 72 06 23 72  |.I....{.U.W.r.#r|
00000380  83 af 8b eb 00 05 3b 9e  af b8 15 e1 d7 83 73 2e  |......;.......s.|
00000390  50 c6 f4 4b a1 23 ee 4c  16 77 cf 1a 0b 82 81 15  |P..K.#.L.w......|
000003a0  11 db 25 6e cd bd 81 22  51 0c e5 24 65 f1 d1 86  |..%n..."Q..$e...|
000003b0  8a 09 e4 c9 89 63 da e8  fc f9 c8 87 37 27 6f 18  |.....c......7'o.|
000003c0  d5 f3 d6 d8 aa 57 8c 6a  82 d9 9d 16 93 01 cd 74  |.....W.j.......t|
000003d0  1f cd ca 45 38 6b e4 7e  52 7f fc 1b d3 cf a7 d5  |...E8k.~R.......|
000003e0  a4 5a ce 18 3f 49 21 e7  da 63 49 f4 d6 fd a1 45  |.Z..?I!..cI....E|
000003f0  f4 36 57 14 de 64 2b 65  3c 1b 89 d0 c7 bd 6d 75  |.6W..d+e<.....mu|
00000400  e0 71 6c e4 c3 19 93 3e  2b 8d 64 2f 38 04 fd ce  |.ql....>+.d/8...|
00000410  e6 8d 60 b2 5b a2 5c 62  6b f9 e8 0b 0f 94 0b a3  |..`.[.\bk.......|
00000420  74 3a 93 d5 46 37 7f 99  7b 70 d2 54 46 43 b7 88  |t:..F7..{p.TFC..|
00000430  80 0f 39 c1 57 71 09 e4  cc 38 62 7a 76 03 3d c1  |..9.Wq...8bzv.=.|
